No,Date,Twitter,Title,Name
BrooklynJS #1,2013-11-14T19:00Z,@nakajima,"Learn how GitHub ships a fast mobile site, with",Pat Nakajima
BrooklynJS #1,2013-11-14T19:00Z,@jandet,Listen to the hacker behind JS BPM detection,Janessa Det
BrooklynJS #1,2013-11-14T19:00Z,@SaraJChipps,"Dream up computers you can wear, just like",Sara Chipps
BrooklynJS #1,2013-11-14T19:00Z,@jeresig,Master node.js streams with none other than,John Resig
BrooklynJS #2,2013-12-16T19:00Z,@tbuchok,master http.createServer with,Tom Buchok
BrooklynJS #2,2013-12-16T19:00Z,@vinceallenvince,translate natural simulations from browser to HD with,Vince Allen
BrooklynJS #2,2013-12-16T19:00Z,@buritica,pay your open source forward with,Juan Pablo Buritica
BrooklynJS #2,2013-12-16T19:00Z,@benjamn,use yield anywhere you want with,Ben Newman
BrooklynJS #2,2013-12-16T19:00Z,@reconbot,make a decentralized chat server with,Francis Gulotta
BrooklynJS #3,2014-01-22T19:00Z,@thlorenz,Learn about SourceMaps from,Thorsten Lorenz
BrooklynJS #3,2014-01-22T19:00Z,@donohoe,Deep-link to Anything on the web with,Michael Donohoe
BrooklynJS #3,2014-01-22T19:00Z,@mathisonian,Write good JavaScript as a bad programmer with,Matthew Conlen
BrooklynJS #3,2014-01-22T19:00Z,@jennschiffer,"Avoid work, unite coworkers with JavaScript and",Jenn Schiffer
BrooklynJS #4,2014-02-20T19:00Z,@amasad,"Learn how to step-debug browser JavaScript, from",Amjad Masad
BrooklynJS #4,2014-02-20T19:00Z,@coderzach,"Make the mobile web feel native, just like",Zach Smith
BrooklynJS #4,2014-02-20T19:00Z,@maryrosecook,"Write a Lisp interpreter in JavaScript, with",Mary Rose Cook
BrooklynJS #4,2014-02-20T19:00Z,@rich_harris,"Keep HTML parsing out of the browser, with",Rich Harris
BrooklynJS #4,2014-02-20T19:00Z,@susanemcg,"Teach Javascript like a natural language, with",Susan McGregor
BrooklynJS #5,2014-03-20T19:00Z,@domenic,"Use ES6 in real life, just like",Domenic Denicola
BrooklynJS #5,2014-03-20T19:00Z,@opheliasdaisies,"Learn JS through Spider Solitaire, with",Sara Gorecki
BrooklynJS #5,2014-03-20T19:00Z,@brycekahle,"Give your favorite OSS a hand, as does",Bryce Kahle
BrooklynJS #5,2014-03-20T19:00Z,@frazelledazzell,"Deploy your JS on Docker, with",Jessie Frazelle
BrooklynJS #5,2014-03-20T19:00Z,@kirbysayshi,"Siphon energy from a pocket universe, with",Drew Petersen
BrooklynJS #6,2014-04-17T19:00Z,@donohoe,"Spelunk the hidden APIs of the Gray Lady, with",Michael Donohoe
BrooklynJS #6,2014-04-17T19:00Z,@dphiffer,"Use computer vision to cheat at FlapMMO, a la",Dan Phiffer
BrooklynJS #6,2014-04-17T19:00Z,@__lucas,"Make standalone node.js apps, just like",Lucas Hrabovsky
BrooklynJS #6,2014-04-17T19:00Z,@danordille,"Use WebRTC to create cooperative gifs, like",Dan Ordille
BrooklynJS #7,2014-05-15T19:00Z,@brittanystoroz,"See that we're not technically writers, with",Brittany Storoz
BrooklynJS #7,2014-05-15T19:00Z,@thegaw,Create Sketch plugins with JSTalk and,Tyler Gaw
BrooklynJS #7,2014-05-15T19:00Z,@zeigenvector,"Study (position:) relativity with Sapir, Whorf, and",Jenna Zeigen
BrooklynJS #7,2014-05-15T19:00Z,@pamasaur,"Grok the basics of testing in JS as one should, with",Pam Selle
BrooklynJS #8,2014-06-19T19:00Z,@amasad,Do it live! Code in realtime with fb-flo and,Amjad Masad
BrooklynJS #8,2014-06-19T19:00Z,@scottluptowski,"Derail your apps with Jasmine, Angular, and",Scott Luptowski
BrooklynJS #8,2014-06-19T19:00Z,@mrspeaker,"Get serious about ES6 already, as does",Earle Castledine
BrooklynJS #8,2014-06-19T19:00Z,@dcousineau,"Solve your woes by reframing them, like",Daniel Cousineau
BrooklynJS #8,2014-06-19T19:00Z,@indexzero,"See how graphs rule everything around us, with",Charlie Robbins
BrooklynJS #9,2014-07-17T19:00Z,@voodootikigod,Democratize hardware with the smoke monster and,Chris Williams
BrooklynJS #9,2014-07-17T19:00Z,@woolypixel,"Set up your own mesh network, just like",Sarah Grant
BrooklynJS #9,2014-07-17T19:00Z,@benjamn,"Watch a Raspberry Pi become self-aware, with",Ben Newman and Ryan Williams
BrooklynJS #9,2014-07-17T19:00Z,@peoplespops,"Watch people's pops do mass customization, with",Joel Horowitz and Dave Liatti
BrooklynJS #10,2014-08-21T19:00Z,@frazelledazzell,"Avoid npm in production using Docker, as told by",Jessie Frazelle
BrooklynJS #10,2014-08-21T19:00Z,@_alastair,Use your phone as a motion game controller with,Alastair Coote
BrooklynJS #10,2014-08-21T19:00Z,@helenhousandi,"Code is Poetry: A Musician's Tale, as told by",Helen Hou-Sandi
BrooklynJS #10,2014-08-21T19:00Z,@sranso,Get an introduction to React with,Sarah Ransohoff
BrooklynJS #10,2014-08-21T19:00Z,@theglamp,Stream log files with node with,Greg Lamp
BrooklynJS #11,2014-09-18T19:00Z,@whale_eat_squid,Turn your .html to .md with Dr. Sax and,Todd Kennedy
BrooklynJS #11,2014-09-18T19:00Z,@rich_harris,"Know your tools to keep your cool, just like",Rich Harris
BrooklynJS #11,2014-09-18T19:00Z,@harthvader,Write your own devtools with secret Web APIs and,Heather Arthur
BrooklynJS #11,2014-09-18T19:00Z,@vinceallenvince,Harness vortex physics! Chase tornadoes! Listen to,Vince Allen
BrooklynJS #12,2014-10-16T19:00Z,@kosamari,Desktopify your web chops with node-webkit and,Mariko Kosaka
BrooklynJS #12,2014-10-16T19:00Z,@dcmotz,"Make the DOM is your oyster, thanks to",Dan Motzenbecker
BrooklynJS #12,2014-10-16T19:00Z,@gscottolson,Learn how FiftyThree launched with React and,G. Scott Olson
BrooklynJS #12,2014-10-16T19:00Z,@mattpodwysocki,"Learn you some reactive programming, a la",Matthew Podwysocki
BrooklynJS #12,2014-10-16T19:00Z,@HackyGoLucky,"Use your words, just like",Tracy Hinds
BrooklynJS #13,2014-11-20T19:00Z,@jennschiffer,Learning to love selfies with pixel art and,Jenn Schiffer
BrooklynJS #13,2014-11-20T19:00Z,@mani_art,"Make art happen with browser eyes and ears, and",Mani Nilchiani
BrooklynJS #13,2014-11-20T19:00Z,@mroth,":man::speech_balloon: :computer::art::chart_with_upwards_trend:, with",Matthew Rothenberg
BrooklynJS #13,2014-11-20T19:00Z,@KirbySaysHi,"Cluster your pixels, just like",Drew Petersen
BrooklynJS #13,2014-11-20T19:00Z,@jeresig,Learn about using Neo4j to solve art mysteries with,John Resig
BrooklynJS #14,2014-12-18T19:00Z,@youyuxi,"Hack semicolons, with the ASI frippery of",Evan You
BrooklynJS #14,2014-12-18T19:00Z,@stefanpenner,"Navigate the JavaScript performance minefield, with",Stefan Penner
BrooklynJS #14,2014-12-18T19:00Z,@jschementi,"Builds apps not infrastructure, as does",Jimmy Schementi
BrooklynJS #14,2014-12-18T19:00Z,@ZeeJab,"Learn D3 from a totes legit CSS magician,",Lady Zahra
BrooklynJS #14,2014-12-18T19:00Z,@aemkei,"Recreate the Matrix in your own home, with",Martin Kleppe
BrooklynJS #15,2015-01-15T19:00Z,@annelibby,"Port your developer skills to human skills, with",Anne Libby
BrooklynJS #15,2015-01-15T19:00Z,@hipsterbrown,"Explore the the other side of empathy, with",Nick Hehr
BrooklynJS #15,2015-01-15T19:00Z,@zertosh,"Render on the server with React, Flux, and",Andres Suarez
BrooklynJS #15,2015-01-15T19:00Z,@nolanlawson,"Make mobile HTML5 apps that best native, a la",Nolan Lawson
BrooklynJS #15,2015-01-15T19:00Z,@meredithmmyers,"Visualize NYC rat sightings with Angular, Leaflet, and",Meredith Myers
BrooklynJS #16,2015-02-19T19:00Z,@am3thyst,"Generative art with math, physics, and three.js",Amy Cheng
BrooklynJS #16,2015-02-19T19:00Z,@rickyrobinett,Someone Put JavaScript in My Microcontroller!,Ricky Robinett
BrooklynJS #16,2015-02-19T19:00Z,@superandomness,Accessibility in the Browser,Cassidy Williams
BrooklynJS #16,2015-02-19T19:00Z,@strzel_a,Managing processes with PM2,Alexandre Strzelewicz
